1614,2286,2004,2017
2021,2027,1856,2054
1622,2277,2011,1997
2030,2009,1865,2040
1630,2274,2017,1986
2043,2008,1872,2037
1639,2277,2025,1985
2051,2011,1879,2048
1646,2284,2031,1998
2063,2021,1887,2065
1650,2287,2038,2018
2068,2029,1892,2081
1653,2285,2044,2028
2075,2038,1895,2090
1653,2284,2043,2039
2075,2045,1891,2095
1652,2287,2037,2045
2066,2052,1883,2101
1641,2291,2029,2049
2052,2059,1876,2106
1630,2295,2017,2055
2036,2062,1862,2108
1621,2294,2008,2050
2021,2060,1853,2104
1612,2292,1998,2038
2017,2049,1849,2087
1617,2286,2000,2022
2021,2032,1851,2068
1623,2277,2006,2005
2030,2016,1859,2053
1627,2272,2015,1987
2037,2005,1869,2043
1637,2269,2024,1984
2049,2006,1878,2050
1646,2278,2030,1996
2056,2019,1886,2070
1650,2283,2038,2014
2066,2028,1888,2086
1658,2281,2041,2022
2075,2036,1893,2094
1663,2283,2043,2033
2075,2042,1893,2098
1661,2284,2041,2040
2069,2048,1888,2105
1652,2285,2033,2048
2055,2056,1878,2113
1641,2287,2022,2052
2043,2061,1862,2110
1631,2291,2010,2049
2031,2059,1853,2110
1626,2288,2003,2044
2019,2052,1847,2099
1617,2279,1998,2026
2020,2035,1850,2082
1624,2272,2002,2012
2027,2022,1856,2062
1634,2263,2012,1994
2036,2005,1864,2053
1639,2262,2017,1986
2045,2005,1872,2055
1650,2268,2026,1990
2055,2015,1881,2070
1656,2272,2034,2008
2064,2023,1886,2085
1663,2274,2040,2020
2073,2032,1892,2098
1667,2274,2045,2032
2074,2037,1889,2105
1665,2273,2040,2040
2070,2047,1886,2109
1661,2274,2035,2044
2062,2056,1878,2115
1651,2281,2022,2052
2046,2061,1865,2120
1638,2280,2011,2054
2033,2061,1854,2120
1634,2282,2003,2048
2021,2054,1847,2111
1627,2276,1997,2037
2016,2041,1845,2097
1629,2267,2002,2018
2023,2026,1851,2078
1639,2258,2009,1997
2031,2010,1860,2061
1644,2252,2019,1986
2042,2007,1869,2059
1655,2257,2024,1990
2053,2011,1878,2072
1662,2264,2033,2001
2061,2022,1883,2086
1669,2266,2038,2016
2069,2027,1889,2099
